Locality,Total_SqFt,BHK,Bathrooms,Dist_to_School_km,Dist_to_Hospital_km,Dist_to_Railway_km,Parking_Available,Gated_Security,Price_INR
Alkola,639,1,2,2.09,3.93,4.88,1,0,3134000.0
Gopala,3080,4,4,1.56,2.56,1.41,0,0,16555000.0
Basavanagudi,4496,4,4,0.49,0.6,4.34,1,0,33438000.0
Alkola,941,2,2,2.45,2.56,8.29,1,0,4686000.0
Gopala,4213,4,4,2.43,3.54,3.0,1,0,22807000.0
Alkola,3718,4,4,2.48,3.89,5.33,1,0,18742000.0
KHB Colony,3585,4,4,1.17,2.56,7.42,1,0,20816000.0
Gopala,3373,4,4,2.2,2.24,8.86,1,0,18170000.0
Vinoba Nagar,3210,4,4,1.9,2.16,8.67,1,1,21853000.0
Vinoba Nagar,1606,3,3,1.59,2.22,4.01,1,0,10708000.0
Bommanakatte,2892,4,4,4.25,6.18,7.18,1,0,11943000.0
Vinoba Nagar,3610,4,4,1.26,1.27,10.97,0,1,24673000.0
Vinoba Nagar,1893,3,3,0.65,1.62,6.51,1,1,13077000.0
Gadikoppa,2986,4,4,1.12,1.96,2.3,1,1,21743000.0
KHB Colony,1051,2,2,1.32,2.63,6.52,0,0,5959000.0
Sulebailu,974,2,2,5.5,8.62,1.13,1,0,3339000.0
Sulebailu,4236,4,4,4.06,7.49,4.67,1,0,16072000.0
Sulebailu,3740,4,5,5.35,6.14,5.76,1,0,14158000.0
KHB Colony,4350,4,4,1.64,2.34,7.96,0,0,25030000.0
Alkola,727,1,1,1.15,2.69,4.04,1,0,3493000.0
Sulebailu,4241,4,5,4.21,7.95,8.75,1,0,16173000.0
Alkola,2312,3,3,1.4,2.51,6.31,1,0,11913000.0
Sulebailu,753,1,1,3.23,5.3,11.47,1,0,2520000.0
Sulebailu,2795,3,3,4.87,7.59,3.94,0,0,10532000.0
Gadikoppa,3997,4,4,1.04,2.2,10.53,1,0,28940000.0
Gopala,1420,2,2,2.47,3.71,3.23,1,0,7703000.0
Bommanakatte,2072,3,4,3.96,4.76,5.95,1,0,8847000.0
Bommanakatte,3744,4,4,2.97,6.02,11.75,0,0,15706000.0
Alkola,2379,3,3,2.37,3.09,3.85,1,0,12015000.0
Vinoba Nagar,3562,4,4,1.42,1.78,3.66,1,0,24274000.0
Gadikoppa,2059,3,4,1.0,1.43,3.98,1,0,14832000.0
Basavanagudi,1545,2,2,0.99,1.07,1.89,1,0,11706000.0
Alkola,1787,3,3,1.82,2.5,7.78,1,0,9141000.0
Gadikoppa,1202,2,2,0.64,1.74,11.13,1,1,8785000.0
Sulebailu,3196,4,4,5.36,6.82,7.93,1,0,11866000.0
Bommanakatte,1341,2,2,3.61,5.95,11.3,0,0,5265000.0
Alkola,4369,4,5,1.45,3.26,1.62,1,0,22358000.0
Bommanakatte,3635,4,5,4.41,5.23,8.21,1,0,15309000.0
Basavanagudi,2632,3,4,1.06,1.35,9.96,1,0,19741000.0
Alkola,1563,2,2,1.46,2.62,6.67,1,0,7741000.0
Bommanakatte,2800,4,4,3.04,6.43,9.65,1,0,11582000.0
Vinoba Nagar,4033,4,4,0.85,1.14,10.94,0,1,27583000.0
Basavanagudi,4097,4,4,0.65,0.8,5.56,0,0,30340000.0
Vinoba Nagar,1908,3,3,1.12,1.94,5.23,1,1,13284000.0
Basavanagudi,1245,2,2,0.59,0.9,4.8,1,0,9484000.0
Gadikoppa,3585,4,4,0.74,2.27,7.4,0,0,25549000.0
KHB Colony,3405,4,4,1.34,2.5,7.29,1,0,19656000.0
Vinoba Nagar,3846,4,4,1.81,1.86,5.53,1,0,26217000.0
Vinoba Nagar,3577,4,5,1.92,1.89,6.45,1,1,24208000.0
Gadikoppa,3953,4,4,0.73,2.53,8.47,1,1,28754000.0
Alkola,4208,4,4,1.61,4.21,3.44,1,0,21562000.0
Gadikoppa,2672,3,3,1.89,2.51,6.12,1,0,19135000.0
KHB Colony,1317,2,2,1.82,1.81,6.33,0,0,7374000.0
Sulebailu,1141,2,2,3.05,6.12,3.29,0,0,3852000.0
Gadikoppa,2939,4,4,1.59,2.96,5.96,1,1,21300000.0
Bommanakatte,2583,3,3,2.61,5.34,1.77,1,0,11145000.0
Bommanakatte,2130,3,3,2.61,5.05,11.22,1,0,9098000.0
Gopala,1685,3,3,1.75,3.08,2.05,0,0,8904000.0
Vinoba Nagar,849,1,1,1.28,1.2,8.45,1,0,5724000.0
Alkola,4375,4,4,1.58,3.66,4.82,1,0,22164000.0
KHB Colony,3546,4,4,1.77,2.71,6.96,1,0,20416000.0
Bommanakatte,2305,3,3,4.28,5.16,7.47,0,0,9646000.0
Sulebailu,3363,4,4,5.24,7.23,7.43,0,0,12607000.0
Alkola,1457,2,2,2.44,3.08,7.04,1,0,7533000.0
Basavanagudi,1752,3,3,1.27,0.8,4.06,1,0,13304000.0
KHB Colony,4461,4,5,1.78,2.64,6.08,1,0,25929000.0
Bommanakatte,803,1,2,3.04,5.39,3.9,1,0,3340000.0
Gadikoppa,4346,4,4,1.76,2.72,9.62,1,0,31503000.0
KHB Colony,703,1,1,1.09,2.5,9.94,1,0,4088000.0
Sulebailu,3335,4,4,5.71,8.73,9.81,1,0,12520000.0
KHB Colony,4326,4,4,1.32,2.92,10.81,1,0,25029000.0
Sulebailu,2594,3,4,3.24,6.25,1.17,0,0,9741000.0
Bommanakatte,2551,3,4,3.78,4.02,11.32,1,0,10842000.0
Basavanagudi,2785,3,3,0.29,1.03,9.06,1,0,21017000.0
Gadikoppa,2858,4,4,1.26,1.74,7.8,1,1,20634000.0
Basavanagudi,3427,4,4,1.32,0.8,11.34,1,0,25895000.0
Gadikoppa,3118,4,4,1.76,1.11,8.09,1,0,22414000.0
Sulebailu,2474,3,3,5.43,6.66,3.25,0,0,8913000.0
Sulebailu,1253,2,3,5.06,5.1,2.89,1,0,4915000.0
Gadikoppa,1741,3,3,2.32,2.28,11.49,1,1,12745000.0
Sulebailu,4209,4,4,3.28,7.38,8.73,0,0,16112000.0
Gopala,1525,2,2,2.23,2.12,8.6,1,0,8255000.0
Gadikoppa,1543,2,2,2.1,2.77,2.38,1,0,11044000.0
Vinoba Nagar,2374,3,3,1.43,2.38,9.54,0,1,15874000.0
Vinoba Nagar,3735,4,4,0.96,1.6,9.68,1,0,25248000.0
Alkola,2923,4,5,2.41,2.19,5.82,1,0,14787000.0
Gadikoppa,1503,2,2,0.54,2.65,5.02,1,1,10966000.0
Bommanakatte,2748,3,4,4.75,6.33,1.84,1,0,11402000.0
KHB Colony,4046,4,4,1.62,1.31,6.26,1,0,23442000.0
Gadikoppa,2885,4,4,0.51,1.35,10.63,1,1,21274000.0
Basavanagudi,2831,4,4,0.45,0.65,7.02,1,0,21222000.0
Vinoba Nagar,2022,3,4,0.57,0.75,7.19,1,1,14044000.0
Basavanagudi,2343,3,3,0.93,1.09,8.24,0,0,17430000.0
Gadikoppa,3689,4,5,1.9,1.83,6.65,1,1,26749000.0
Basavanagudi,1616,3,3,1.33,0.72,11.67,1,0,12376000.0
Basavanagudi,2295,3,3,0.37,1.31,2.82,1,0,16906000.0
Gadikoppa,1005,2,2,1.65,2.12,5.08,1,0,7181000.0
Gopala,986,2,2,1.67,3.32,7.31,1,0,5278000.0
Bommanakatte,4158,4,4,4.38,5.87,7.6,0,0,17175000.0
Bommanakatte,3364,4,4,3.16,5.66,3.19,1,0,14252000.0
Alkola,4145,4,4,1.88,2.02,9.5,1,0,21201000.0
KHB Colony,3673,4,4,1.51,2.41,11.29,1,0,21249000.0
Alkola,2604,3,3,1.07,3.62,3.49,1,0,13510000.0
Bommanakatte,3361,4,4,2.81,5.88,4.06,1,0,14324000.0
Gadikoppa,1888,3,3,1.43,2.55,11.06,0,1,13734000.0
Bommanakatte,1944,3,3,3.0,4.17,7.25,1,0,8234000.0
Basavanagudi,1023,2,2,0.7,0.29,1.21,1,0,7562000.0
Sulebailu,2335,3,3,3.7,6.38,1.33,1,0,8892000.0
Bommanakatte,2642,3,3,4.2,4.95,10.33,1,0,11132000.0
Alkola,3915,4,4,1.42,2.7,11.6,0,0,19936000.0
KHB Colony,3347,4,4,1.31,1.68,1.87,1,0,19586000.0
Vinoba Nagar,2561,3,3,1.75,2.37,3.04,1,1,17631000.0
Gadikoppa,1998,3,3,1.39,2.0,3.71,1,1,14414000.0
Gopala,1515,2,2,2.16,3.76,9.99,1,0,8168000.0
Gopala,2310,3,3,2.77,3.74,11.0,1,0,12168000.0
KHB Colony,3015,4,4,1.19,1.37,4.76,1,0,17557000.0
Sulebailu,2388,3,3,3.9,7.38,5.77,0,0,9080000.0
Vinoba Nagar,3537,4,4,1.85,1.19,9.06,1,1,24301000.0
KHB Colony,791,1,1,1.4,1.65,1.12,1,0,4793000.0
Basavanagudi,791,1,2,0.95,0.8,2.31,1,0,6230000.0
Bommanakatte,3466,4,4,3.83,4.31,2.9,1,0,14780000.0
KHB Colony,1559,2,2,1.82,2.97,3.86,1,0,8696000.0
KHB Colony,3190,4,5,1.69,1.92,3.49,1,0,18362000.0
Vinoba Nagar,1360,2,2,1.04,2.15,10.03,1,1,9633000.0
Vinoba Nagar,2637,3,3,0.63,1.43,6.3,1,0,17915000.0
KHB Colony,671,1,1,1.82,1.77,6.05,1,0,3909000.0
Vinoba Nagar,2553,3,4,1.21,1.32,2.77,1,1,17664000.0
Vinoba Nagar,1872,3,3,0.6,1.34,2.28,1,1,12908000.0
Alkola,2539,3,3,1.6,4.08,9.96,1,0,12889000.0
Vinoba Nagar,3998,4,4,0.66,1.21,5.54,1,1,27430000.0
Bommanakatte,1407,2,3,4.57,4.13,5.61,0,0,5554000.0
Basavanagudi,1817,3,3,0.5,0.85,9.05,1,0,13772000.0
Gadikoppa,1475,2,2,1.77,2.26,5.44,1,1,10753000.0
Basavanagudi,3380,4,4,0.78,1.36,8.24,0,0,25295000.0
Sulebailu,887,1,1,3.75,7.19,4.02,1,0,3078000.0
Sulebailu,3271,4,4,4.68,8.31,8.84,1,0,12173000.0
Alkola,3063,4,4,2.21,4.37,5.4,1,0,15375000.0
Alkola,1572,2,2,1.04,3.51,8.25,1,0,8041000.0
KHB Colony,1692,3,3,1.55,1.83,2.76,0,0,9490000.0
Gadikoppa,1094,2,2,2.3,1.17,5.32,0,0,7872000.0
Gopala,2401,3,3,1.05,3.59,11.72,0,0,13018000.0
Gadikoppa,3541,4,4,2.35,1.84,1.56,0,1,25450000.0
Gopala,3303,4,5,2.57,2.27,1.44,1,0,17755000.0
Basavanagudi,2523,3,3,0.91,0.56,8.8,1,0,18968000.0
Sulebailu,1174,2,3,4.28,8.33,9.86,1,0,4298000.0
Gadikoppa,2427,3,3,2.36,1.19,5.95,1,1,17223000.0
Alkola,827,1,1,1.83,2.54,3.29,1,0,4118000.0
KHB Colony,3659,4,4,1.73,1.69,5.48,0,0,21126000.0
Sulebailu,644,1,1,5.41,5.99,11.74,1,0,2093000.0
Bommanakatte,1990,3,3,3.07,5.23,3.65,1,0,8422000.0
Bommanakatte,3721,4,4,2.89,6.21,4.97,1,0,15903000.0
Basavanagudi,3971,4,5,1.49,0.4,11.87,1,0,29933000.0
Vinoba Nagar,2476,3,3,0.93,1.44,7.81,1,1,17250000.0
Bommanakatte,4456,4,4,4.11,4.07,5.73,1,0,19026000.0
Bommanakatte,3254,4,4,3.73,4.59,8.17,1,0,14136000.0
KHB Colony,2009,3,3,1.51,1.12,4.17,0,0,11381000.0
Gadikoppa,4052,4,4,2.39,1.65,8.27,1,0,29087000.0
Sulebailu,4391,4,4,3.37,7.81,2.25,1,0,16849000.0
Bommanakatte,2047,3,4,2.57,5.87,9.87,1,0,8404000.0
KHB Colony,659,1,1,1.67,2.45,6.42,1,0,3728000.0
KHB Colony,3171,4,4,1.17,1.05,4.99,1,0,18630000.0
Basavanagudi,4329,4,5,1.24,1.32,2.66,1,0,32264000.0
Basavanagudi,763,1,1,0.96,0.53,9.32,0,0,5784000.0
Basavanagudi,4123,4,4,0.37,0.78,1.47,1,0,31010000.0
Basavanagudi,2756,3,3,1.04,0.57,4.29,1,0,20267000.0
Basavanagudi,3958,4,4,0.92,0.39,2.01,1,0,29792000.0
KHB Colony,4080,4,4,1.67,2.98,3.48,1,0,23750000.0
Vinoba Nagar,4395,4,5,0.62,2.16,11.74,1,0,29624000.0
Basavanagudi,3782,4,4,0.84,1.32,7.52,1,0,28361000.0
Vinoba Nagar,2778,3,3,1.5,0.74,7.3,1,1,19153000.0
Basavanagudi,2835,4,4,0.6,0.84,9.76,1,0,21323000.0
Gadikoppa,2635,3,3,1.55,1.56,4.28,1,1,19335000.0
Alkola,1379,2,2,1.1,2.12,4.25,1,0,7113000.0
Gopala,1026,2,2,1.8,3.0,8.18,0,0,5336000.0
Bommanakatte,2566,3,3,4.1,5.4,3.09,1,0,10824000.0
Sulebailu,3299,4,4,5.73,5.08,4.47,0,0,12491000.0
Vinoba Nagar,2763,3,3,1.09,2.01,6.0,1,1,19155000.0
KHB Colony,3076,4,5,1.58,2.94,5.16,0,0,17656000.0
Sulebailu,4218,4,4,5.99,6.81,4.9,1,0,15709000.0
KHB Colony,1221,2,2,1.41,1.77,8.26,1,0,7012000.0
KHB Colony,2864,4,4,1.65,2.91,2.67,1,0,16589000.0
KHB Colony,2119,3,3,1.4,1.68,2.4,1,0,12379000.0
Alkola,1101,2,3,1.83,3.49,10.59,1,0,5425000.0
Basavanagudi,1519,2,2,0.9,0.3,7.22,1,0,11249000.0
Gadikoppa,4026,4,5,1.37,2.19,1.89,1,1,29061000.0
KHB Colony,4160,4,4,1.08,1.95,7.93,1,0,24040000.0
KHB Colony,2900,4,5,1.88,2.94,2.95,1,0,16893000.0
Gadikoppa,4335,4,4,1.53,2.16,11.3,1,1,31298000.0
KHB Colony,1369,2,2,1.38,1.11,7.59,1,0,7916000.0
Bommanakatte,1021,2,2,3.61,4.15,10.03,1,0,3927000.0
Basavanagudi,2607,3,3,1.27,1.02,9.63,1,0,19758000.0
KHB Colony,2386,3,3,1.54,2.21,3.43,1,0,13630000.0
Gadikoppa,4124,4,4,2.03,2.05,3.49,1,0,29703000.0
Basavanagudi,2770,3,4,0.44,0.46,5.25,0,0,20778000.0
Alkola,3738,4,4,2.26,2.36,6.56,0,0,18482000.0
Basavanagudi,1759,3,3,0.94,1.34,7.14,1,0,13557000.0
Vinoba Nagar,2913,4,4,1.76,1.09,1.85,0,0,19766000.0
Gopala,2117,3,3,1.49,2.4,11.88,1,0,11558000.0
Gopala,3986,4,5,2.34,3.1,5.52,1,0,21118000.0
Gadikoppa,3639,4,5,1.17,1.35,2.08,1,1,26301000.0
Sulebailu,3076,4,4,3.29,5.72,9.77,1,0,11923000.0
KHB Colony,3460,4,4,1.92,1.15,4.09,1,0,20151000.0
Sulebailu,3204,4,4,4.2,6.64,11.76,0,0,11968000.0
Sulebailu,3946,4,4,5.19,6.68,7.36,1,0,15064000.0
Vinoba Nagar,3708,4,4,0.71,1.33,7.03,1,1,25518000.0
Sulebailu,3309,4,5,5.03,6.58,2.46,0,0,12303000.0
Gadikoppa,4014,4,4,1.34,1.72,7.53,1,0,28739000.0
Vinoba Nagar,3262,4,4,1.36,0.92,9.16,0,1,22326000.0
Sulebailu,1970,3,3,4.7,8.18,9.09,1,0,7488000.0
Basavanagudi,3848,4,5,0.54,0.74,7.59,1,0,28677000.0
Sulebailu,1501,2,3,4.75,8.77,2.92,1,0,5411000.0
Gadikoppa,2154,3,3,1.6,1.81,6.74,1,0,15647000.0
Gopala,820,1,1,1.86,3.37,11.04,1,0,4378000.0
Alkola,1080,2,2,1.3,2.62,4.37,1,0,5255000.0
Gadikoppa,3520,4,5,0.68,1.34,6.7,1,0,25686000.0
Bommanakatte,980,2,2,2.53,5.95,8.36,1,0,4345000.0
Gopala,1222,2,2,2.86,3.99,8.92,1,0,6224000.0
Gadikoppa,666,1,2,0.96,2.79,3.82,1,0,4786000.0
Bommanakatte,1148,2,2,4.4,6.28,4.44,1,0,4788000.0
KHB Colony,2238,3,3,1.65,2.87,4.34,1,0,13047000.0
Gopala,1387,2,2,1.26,3.18,9.02,1,0,7608000.0
Gopala,4046,4,4,1.62,2.57,8.1,1,0,21739000.0
Alkola,1493,2,3,2.18,4.27,5.07,1,0,7272000.0
KHB Colony,4218,4,4,1.18,2.91,5.14,1,0,24436000.0
Gadikoppa,2314,3,3,1.13,2.62,10.63,1,1,16740000.0
Alkola,4193,4,4,1.22,3.73,11.4,1,0,21325000.0
Gadikoppa,2978,4,4,0.74,1.62,9.83,1,0,21177000.0
Gopala,1287,2,2,2.32,3.38,9.93,1,0,6971000.0
Vinoba Nagar,2244,3,3,1.61,1.86,3.78,1,0,15190000.0
Gadikoppa,2142,3,3,1.45,2.7,5.22,0,1,15240000.0
Bommanakatte,2812,4,4,4.01,5.38,10.12,1,0,11858000.0
Bommanakatte,2310,3,4,4.6,6.01,8.67,1,0,9667000.0
KHB Colony,2473,3,3,1.89,1.09,11.58,1,0,14447000.0
Bommanakatte,2894,4,4,3.12,6.83,4.28,1,0,12012000.0
Sulebailu,2507,3,3,5.93,6.48,4.93,1,0,9326000.0
Gopala,1705,3,3,2.76,2.76,6.59,0,0,8991000.0
Gadikoppa,3765,4,4,1.34,2.57,3.15,1,1,27204000.0
Vinoba Nagar,1538,2,2,0.88,2.0,6.64,1,1,10684000.0
Bommanakatte,3095,4,4,2.64,4.61,5.61,1,0,13145000.0
Vinoba Nagar,3259,4,4,0.92,2.14,9.28,1,1,22241000.0
Vinoba Nagar,815,1,1,0.86,0.65,9.18,1,0,5738000.0
KHB Colony,827,1,1,1.11,1.47,9.25,1,0,4727000.0
Sulebailu,3620,4,4,5.06,8.26,10.65,1,0,13716000.0
Sulebailu,1098,2,3,4.6,5.15,9.89,1,0,3741000.0
Gopala,792,1,1,1.8,3.66,3.94,1,0,4263000.0
Vinoba Nagar,2386,3,3,1.93,0.74,1.2,1,0,16266000.0
KHB Colony,682,1,1,1.06,1.45,5.0,1,0,3827000.0
Alkola,3883,4,4,2.11,3.34,10.24,1,0,19883000.0
KHB Colony,1733,3,3,1.72,1.57,4.59,0,0,9723000.0
Gopala,2516,3,4,2.73,1.8,2.89,1,0,13432000.0
Alkola,660,1,1,1.32,2.29,10.2,1,0,3421000.0
Vinoba Nagar,4370,4,4,0.8,1.07,4.18,1,1,29801000.0
Alkola,601,1,2,1.47,3.26,9.76,1,0,3035000.0
Bommanakatte,728,1,2,3.87,4.26,5.15,1,0,2859000.0
Basavanagudi,1166,2,2,1.43,0.38,9.4,0,0,8640000.0
KHB Colony,1405,2,2,1.78,1.69,7.9,0,0,8170000.0
KHB Colony,1216,2,2,1.31,2.27,4.92,0,0,6969000.0
Gopala,1269,2,2,1.76,1.83,3.16,1,0,6988000.0
Gadikoppa,1319,2,2,1.23,2.65,3.24,1,1,9474000.0
Gopala,1238,2,3,2.77,2.36,8.52,0,0,6286000.0
Gopala,3184,4,4,1.48,2.47,1.89,0,0,17193000.0
Gadikoppa,1208,2,3,2.32,1.01,6.32,0,1,8789000.0
KHB Colony,1524,2,2,1.53,1.39,2.83,1,0,9105000.0
Gopala,2152,3,3,2.52,2.35,11.47,1,0,11693000.0
Vinoba Nagar,3876,4,4,1.2,0.95,9.18,1,1,26645000.0
Gopala,4357,4,4,1.89,2.72,4.87,1,0,23702000.0
Vinoba Nagar,4367,4,4,1.15,2.2,5.0,1,1,29960000.0
KHB Colony,1669,3,3,1.81,2.69,5.35,0,0,9732000.0
Gopala,3871,4,4,1.71,3.09,3.05,1,0,20703000.0
Alkola,3313,4,4,1.44,3.87,6.31,1,0,16806000.0
Sulebailu,2184,3,3,4.58,7.83,3.77,1,0,8208000.0
Gopala,3308,4,4,1.0,1.6,11.75,1,0,18043000.0
Bommanakatte,2777,3,4,4.32,5.8,9.04,1,0,11712000.0
Bommanakatte,677,1,1,3.35,5.95,1.75,1,0,2603000.0
Alkola,1869,3,3,1.59,3.18,10.4,1,0,9359000.0
Alkola,3212,4,5,2.17,4.12,3.0,1,0,16335000.0
Basavanagudi,1632,3,3,0.46,0.48,1.46,1,0,12223000.0
Alkola,1021,2,2,2.0,3.09,11.48,1,0,5141000.0
Sulebailu,1145,2,3,5.18,5.49,4.33,1,0,4252000.0
Bommanakatte,1470,2,2,2.92,5.14,7.79,1,0,6173000.0
Vinoba Nagar,929,2,2,0.79,1.83,7.86,1,1,6583000.0
Gadikoppa,4433,4,4,1.54,1.4,9.86,0,0,32073000.0
Sulebailu,2377,3,3,4.67,6.39,11.26,1,0,8815000.0
KHB Colony,3552,4,4,1.74,1.07,6.22,1,0,20868000.0
Gadikoppa,2186,3,4,2.44,2.04,7.76,1,1,15940000.0
Alkola,1641,3,4,1.16,4.09,3.64,0,0,8384000.0
Gadikoppa,2369,3,3,0.74,1.07,1.58,1,0,17131000.0
Gadikoppa,1054,2,2,2.19,1.52,5.64,0,1,7871000.0
Sulebailu,4437,4,4,3.32,6.47,2.09,1,0,17306000.0
Alkola,793,1,1,2.3,3.5,8.71,1,0,3830000.0
Alkola,1553,2,2,1.42,2.8,11.17,0,0,8060000.0
Gadikoppa,2153,3,3,1.72,2.09,3.75,1,1,15787000.0
Bommanakatte,3545,4,5,4.91,5.13,7.64,0,0,15215000.0
Basavanagudi,2526,3,3,0.95,0.36,7.4,1,0,19177000.0
Basavanagudi,4130,4,4,1.01,0.37,4.41,1,0,31024000.0
KHB Colony,2398,3,3,1.68,1.6,3.02,1,0,13680000.0
Gopala,3604,4,5,1.65,2.67,2.63,1,0,19401000.0
Gadikoppa,3108,4,5,0.91,2.54,5.68,1,0,22372000.0
Basavanagudi,855,1,1,0.31,0.9,11.05,1,0,6435000.0
Gadikoppa,698,1,2,2.37,2.5,11.35,1,1,5140000.0
Vinoba Nagar,670,1,1,1.65,2.36,3.25,1,1,4762000.0
Basavanagudi,820,1,1,0.57,0.6,11.81,1,0,6429000.0
Alkola,4192,4,4,1.27,4.37,3.41,1,0,21217000.0
Vinoba Nagar,2597,3,3,1.41,1.39,9.17,1,0,17647000.0
KHB Colony,3511,4,4,1.4,1.11,7.42,1,0,20116000.0
KHB Colony,3761,4,4,1.66,1.84,8.71,1,0,21771000.0
Gadikoppa,4415,4,4,0.58,1.74,11.77,1,1,32040000.0
Gadikoppa,1288,2,2,1.66,2.6,10.51,1,1,9495000.0
Sulebailu,4040,4,5,5.59,6.92,1.76,1,0,15335000.0
Gadikoppa,3355,4,4,0.91,2.65,7.13,0,1,23925000.0
Gopala,2684,3,3,1.61,1.98,2.42,1,0,14501000.0
Bommanakatte,618,1,1,3.07,4.5,4.66,1,0,2275000.0
Basavanagudi,3041,4,4,0.66,1.12,6.74,0,0,22721000.0
Vinoba Nagar,4414,4,4,1.65,0.66,1.52,0,0,30008000.0
Alkola,2198,3,3,1.84,2.28,7.7,1,0,11157000.0
Alkola,4475,4,4,1.58,4.22,10.83,1,0,22826000.0
Gadikoppa,3909,4,4,1.41,1.56,11.55,0,1,28239000.0
Sulebailu,1680,3,3,4.21,9.0,1.6,1,0,6206000.0
KHB Colony,2603,3,3,1.09,1.61,11.63,1,0,14700000.0
Alkola,972,2,2,2.36,2.02,9.92,1,0,4915000.0
Vinoba Nagar,882,1,1,1.17,1.89,9.06,1,0,6097000.0
Alkola,1704,3,3,1.15,2.14,2.42,0,0,8470000.0
Basavanagudi,3817,4,5,1.07,0.37,10.37,1,0,28664000.0
KHB Colony,808,1,1,1.03,1.48,1.36,1,0,4942000.0
Basavanagudi,1699,3,3,0.44,1.18,3.6,0,0,12683000.0
Gadikoppa,1557,2,3,1.53,2.69,1.88,1,1,11322000.0
Gadikoppa,3469,4,4,1.82,1.78,2.45,1,1,25243000.0
Vinoba Nagar,3141,4,5,1.4,1.6,6.65,1,1,21683000.0
Gopala,2882,4,5,1.53,1.8,3.53,0,0,15365000.0
KHB Colony,687,1,2,1.75,1.1,11.43,1,0,4231000.0
KHB Colony,1589,2,2,1.79,1.81,1.03,1,0,9216000.0
Alkola,1102,2,2,1.01,3.23,11.85,1,0,5831000.0
Sulebailu,4361,4,4,3.93,8.75,8.45,0,0,16327000.0
Basavanagudi,2979,4,4,0.49,0.53,10.65,0,0,22148000.0
Alkola,924,2,2,1.01,3.27,2.53,1,0,4821000.0
Gadikoppa,1554,2,2,1.39,1.61,8.88,1,0,11076000.0
Sulebailu,1445,2,3,4.93,5.73,3.56,1,0,5288000.0
Gopala,4432,4,4,1.45,1.94,10.53,1,0,24104000.0
Gopala,3000,4,4,1.86,2.92,1.02,1,0,16515000.0
Gopala,1122,2,2,1.35,2.87,8.86,1,0,6019000.0
Basavanagudi,1689,3,3,0.36,1.05,1.58,1,0,12691000.0
Bommanakatte,3358,4,4,3.64,4.49,4.35,1,0,14319000.0
Bommanakatte,4272,4,4,2.6,5.5,9.41,1,0,18125000.0
Gopala,3910,4,4,2.65,1.71,10.53,1,0,20907000.0
Alkola,3335,4,4,1.33,2.26,7.44,1,0,16866000.0
Gopala,2997,4,4,1.53,3.78,5.79,0,0,16072000.0
Sulebailu,3985,4,4,3.66,6.78,10.89,0,0,15283000.0
Basavanagudi,1070,2,2,1.46,0.79,6.58,1,0,8035000.0
Sulebailu,3674,4,4,4.81,7.62,11.98,0,0,13597000.0
Vinoba Nagar,2668,3,3,1.02,0.54,2.01,1,1,18864000.0
Bommanakatte,3262,4,4,4.38,5.77,3.34,0,0,13738000.0
Sulebailu,1091,2,2,5.48,8.43,6.1,1,0,3895000.0
KHB Colony,3485,4,4,1.98,2.32,9.99,1,0,20147000.0
Gopala,3901,4,4,1.11,2.36,8.34,0,0,20915000.0
Gopala,1037,2,2,2.0,2.93,2.51,1,0,5588000.0
Gadikoppa,3423,4,4,1.84,1.67,3.8,1,0,24654000.0
Sulebailu,2678,3,3,4.58,7.33,8.52,1,0,10342000.0
Sulebailu,4263,4,4,3.57,6.6,11.43,1,0,16344000.0
Gadikoppa,1277,2,2,2.5,2.08,4.12,1,1,9176000.0
Basavanagudi,2440,3,3,0.95,1.16,8.43,1,0,18226000.0
Sulebailu,3481,4,4,5.58,8.85,7.91,0,0,12891000.0
Sulebailu,1748,3,3,4.74,7.47,9.6,1,0,6527000.0
Gadikoppa,1835,3,3,1.13,2.92,1.37,1,0,13256000.0
Sulebailu,3470,4,5,3.71,6.98,11.06,1,0,13281000.0
Bommanakatte,2107,3,3,2.87,5.94,3.56,0,0,8592000.0
Vinoba Nagar,2402,3,3,1.24,2.32,11.21,0,0,15929000.0
Vinoba Nagar,4209,4,5,1.92,0.91,7.75,1,1,28795000.0
Basavanagudi,1275,2,3,0.88,0.81,1.78,1,0,9761000.0
Gadikoppa,2449,3,3,0.71,1.85,5.98,1,1,17598000.0
Bommanakatte,2299,3,4,3.09,4.49,2.37,1,0,9594000.0
Bommanakatte,2238,3,4,2.76,4.52,5.74,1,0,9351000.0
Alkola,1696,3,3,1.51,2.46,1.08,1,0,8466000.0
Gopala,3142,4,4,1.55,2.06,10.43,1,0,17065000.0
Bommanakatte,739,1,1,3.04,4.23,7.31,0,0,2960000.0
Basavanagudi,1412,2,2,1.01,0.82,10.63,1,0,10645000.0
Basavanagudi,3785,4,4,0.53,1.14,1.31,1,0,28315000.0
Bommanakatte,3902,4,4,4.13,5.22,7.56,0,0,16417000.0
Basavanagudi,1473,2,2,0.55,1.27,11.99,1,0,11247000.0
Bommanakatte,1675,3,3,3.76,6.39,2.49,1,0,6725000.0
Vinoba Nagar,2881,4,5,0.95,0.7,3.99,1,1,19827000.0
Sulebailu,1114,2,2,4.25,5.67,11.85,1,0,3956000.0
Vinoba Nagar,2265,3,4,0.58,0.74,7.39,1,1,15665000.0
Bommanakatte,1953,3,3,2.93,5.08,8.01,0,0,8227000.0
Sulebailu,1485,2,2,5.99,6.9,9.98,1,0,5429000.0
